Sex,0-19,20-39,40-59,60-79,80+
F,717.6666666666666,1186.3999999999999,1091.0,438.23333333333335,114.2
M,757.7000000000002,987.2333333333332,1063.6333333333334,442.06666666666666,64.43333333333332
